Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1987-05-29 00:00:00,7.0,477.0,170.0,-305.0,47.0,181.0,219.0,46.0,-212.0,-39.0
1987-06-15 00:00:00,819.0,250.0,491.0,52.0,500.0,-55.0,802.0,488.0,17.0,331.0
1987-06-30 00:00:00,2130.0,-427.0,66.0,1038.0,1702.0,1124.0,2313.0,2228.0,-183.0,-98.0
1987-07-15 00:00:00,377.0,315.0,721.0,-82.0,221.0,205.0,454.0,844.0,-77.0,-467.0
1987-07-31 00:00:00,-346.0,9.0,-1246.0,-94.0,-753.0,496.0,-838.0,-844.0,492.0,498.0
1987-08-14 00:00:00,-1024.0,459.0,244.0,-1032.0,279.0,645.0,-294.0,-143.0,-730.0,-881.0
1987-08-31 00:00:00,-612.0,-297.0,-364.0,85.0,-488.0,-471.0,-700.0,-750.0,88.0,138.0
1987-09-15 00:00:00,671.0,600.0,-71.0,-166.0,260.0,1022.0,694.0,785.0,-23.0,-114.0
1987-09-30 00:00:00,738.0,350.0,-94.0,141.0,-714.0,104.0,-223.0,151.0,961.0,587.0
1987-10-15 00:00:00,142.0,-1000.0,24.0,585.0,659.0,-675.0,244.0,-66.0,-102.0,208.0
1987-10-30 00:00:00,-3204.0,-341.0,114.0,-1630.0,-450.0,-1115.0,-2421.0,-2631.0,-783.0,-573.0
1987-11-13 00:00:00,2760.0,893.0,-136.0,1582.0,138.0,1044.0,2613.0,2490.0,147.0,270.0
1987-11-30 00:00:00,1608.0,-159.0,7.0,-107.0,1898.0,1907.0,1632.0,1807.0,-24.0,-199.0
1987-12-15 00:00:00,-2981.0,-756.0,131.0,-805.0,-1438.0,-2279.0,-2999.0,-2953.0,18.0,-28.0
1987-12-31 00:00:00,-1047.0,305.0,-170.0,-304.0,-1016.0,-466.0,-1015.0,-940.0,-32.0,-107.0
1988-01-15 00:00:00,4752.0,677.0,339.0,1415.0,2949.0,3681.0,5041.0,5435.0,-289.0,-683.0
1988-01-29 00:00:00,5.0,-1313.0,-252.0,54.0,1118.0,-461.0,-141.0,-659.0,146.0,664.0
1988-02-12 00:00:00,2317.0,-101.0,613.0,121.0,2214.0,1359.0,2234.0,2093.0,83.0,224.0
1988-02-29 00:00:00,-2.0,0.0,43.0,-206.0,-322.0,-37.0,-528.0,-200.0,526.0,198.0
1988-03-15 00:00:00,-1168.0,491.0,-189.0,-11.0,-827.0,-262.0,-347.0,-462.0,-821.0,-706.0
1988-03-31 00:00:00,-251.0,631.0,-396.0,-1169.0,-125.0,773.0,-663.0,-792.0,412.0,541.0
1988-04-15 00:00:00,147.0,-964.0,578.0,1141.0,-339.0,-2097.0,-162.0,-378.0,309.0,525.0
1988-04-29 00:00:00,-918.0,104.0,-254.0,-295.0,-193.0,-266.0,-384.0,-815.0,-534.0,-103.0
1988-05-13 00:00:00,2783.0,-48.0,218.0,2844.0,186.0,620.0,2982.0,3682.0,-199.0,-899.0
